열,부서,회사,Level1,Level2
1,Key Account팀,HCE,영업,
2,글로벌교육센터,HCE,영업,
3,마케팅부,HCE,영업,
4,브라질법인,HCE,해외법인,
5,인도현지법인,HCE,해외법인,
6,선행품질부,HCE,,품질
7,신뢰성평가부,HCE,R&D,제품개발
8,조립부,HCE,글로벌생산,
9,가공부,HCE,글로벌생산,
10,품질관리부,HCE,,품질
11,생산기술부,HCE,글로벌생산,
12,글로벌생산혁신팀,HCE,글로벌생산,
13,산업차량국내영업/하이케어부,HCE,산업차량,산차영업
14,산업차량제품개발부,HCE,산업차량,산차R&D
15,산업차량설계부,HCE,산업차량,산차R&D
16,산업차량생산관리부,HCE,산업차량,산차생산
17,산업차량품질경영부,HCE,산업차량,산차생산
18,해외영업1부,HCE,영업,
19,해외영업2부,HCE,영업,
20,국내하이케어부,HCE,영업,
21,글로벌하이케어부,HCE,영업,
22,상품전략부,HCE,영업,
23,품질기획팀,HCE,,품질
24,품질보증부,HCE,,품질
25,BC운영팀,HCE,,품질
26,선행기술부,HCE,R&D,제품개발
27,전기전자개발부,HCE,R&D,제품개발
28,미래동력기술팀,HCE,R&D,제품개발
29,선행생산기술팀,HCE,R&D,제품개발
30,시스템개발부,HCE,R&D,제품개발
31,설계부,HCE,R&D,제품개발
32,제품개발부,HCE,R&D,제품개발
33,제품시험부,HCE,R&D,제품개발
34,안전환경팀,HCE,글로벌생산,
35,자재운영부,HCE,글로벌생산,
36,생산관리부,HCE,글로벌생산,
37,산업차량글로벌영업부,HCE,산업차량,산차영업
38,산업차량전략기획부,HCE,산업차량,산차기획
39,전략기획팀,HCE,,재무/기획
40,홍보팀,HCE,,재무/기획
41,프로세스혁신부,HCE,,재무/기획
42,ICT전략팀,HCE,,ICT
43,디지털혁신팀,HCE,,ICT
44,재무분석팀,HCE,,재무/기획
45,회계팀,HCE,,재무/기획
46,금융팀,HCE,,재무/기획
47,후생복지팀,HCE,,HR/지원
48,제관구매부,HCE,,구매
49,전략구매부,HCE,,구매
50,기능품구매부,HCE,,구매
51,법무팀,HCE,,법무/보안
52,내부회계지원팀,HCE,,재무/기획
53,중국지주회사,HCE,해외법인,
54,강소합자법인,HCE,해외법인,
55,국내영업부,HCE,영업,
56,총무팀,HCE,,HR/지원
57,아틀란타법인,HCE,해외법인,
58,인사전략팀,HCE,,HR/지원
59,중국금융리스사,HCE,해외법인,
60,태국지사,HCE,해외법인,
61,남아공지사,HCE,해외법인,
62,해외법인영업부,HCE,영업,
63,벨지움현지법인,HCE,해외법인,
64,인도네시아법인,HCE,해외법인,
65,OEM지원팀,HCE,영업,
66,제벨알리지사,HCE,해외법인,
67,상주유압기기현지법인,HCE,해외법인,
68,영업전략팀,HCE,영업,
69,브랜드전략팀,HCE,영업,
70,안전환경부,HCE,글로벌생산,
71,A/M사업부,HCE,영업,
72,A/M구매팀,HCE,,구매
73,자산기획팀,HCE,,HR/지원
74,GCM팀,HCE,영업,
75,제관품질팀,HCE,,품질
76,부품신뢰성평가팀,HCE,R&D,제품개발
77,생산품질부,HCE,글로벌생산,
78,산업차량지원팀,HCE,,HR/지원
79,Asia Pacific/Africa팀,HCE,영업,
80,LATAM&CNHI팀,HCE,영업,
81,한국PS팀,HCE,영업,
82,AM운영팀,HCE,영업,
83,AM기획팀,HCE,영업,
84,AM영업팀,HCE,영업,
85,글로벌PS팀,HCE,영업,
86,Global PM&Marketing팀,HCE,영업,
87,선행품질팀,HCE,,품질
88,기능품질팀,HCE,,품질
89,품질보증팀,HCE,,품질
90,VPD팀,HCE,R&D,제품개발
91,디지털기술팀,HCE,R&D,제품개발
92,지능기술팀,HCE,R&D,제품개발
93,엔진동력전달시스템개발팀,HCE,R&D,제품개발
94,유압시스템설계팀,HCE,R&D,제품개발
95,제어시스템개발팀,HCE,R&D,제품개발
96,구조설계팀,HCE,R&D,제품개발
97,의장설계팀,HCE,R&D,제품개발
98,전장설계팀,HCE,R&D,제품개발
99,제품개선설계팀,HCE,R&D,제품개발
100,기본설계팀,HCE,R&D,제품개발
101,중대형굴착기개발팀,HCE,R&D,제품개발
102,기술전략팀,HCE,R&D,제품개발
103,미니소형굴착기개발팀,HCE,R&D,제품개발
104,휠로더개발팀,HCE,R&D,제품개발
105,제품성능시험팀,HCE,R&D,제품개발
106,시험평가기술개발팀,HCE,R&D,제품개발
107,제품내구시험팀,HCE,R&D,제품개발
108,생산운영부,HCE,글로벌생산,
109,전략구매팀,HCE,,구매
110,제관구매팀,HCE,,구매
111,파트너사육성팀,HCE,,구매
112,원가분석팀,HCE,,재무/기획
113,경영혁신팀,HCE,,재무/기획
114,프로세스혁신팀,HCE,,ICT
115,ICT혁신팀,HCE,,ICT
116,한국영업팀,HCE,영업,
117,Eurasia/ME팀,HCE,영업,
118,전략제품Biz팀,HCE,영업,
119,ESG경영팀,HCE,,재무/기획
120,유럽법인,HCE,해외법인,
121,EP팀,HCE,영업,
122,북미법인,HCE,해외법인,
123,DFSS추진팀,HCE,R&D,제품개발
124,인도법인,HCE,해외법인,
125,안전기획팀,HCE,글로벌생산,
126,전기전자검증팀,HCE,R&D,제품개발
127,안전팀,HCE,글로벌생산,
128,스마트팩토리팀,HCE,글로벌생산,
129,통합SCM팀,HCE,,구매
130,경영기획팀,HCE,,재무/기획
131,EHS팀,HCE,글로벌생산,
132,설계관리팀,HCE,R&D,제품개발
133,배치대기,HCE,배치대기,
134,사업협력팀,HCE,영업,
135,해외영업4팀,HCE,영업,
136,상품기획팀,HCE,영업,
137,상품마케팅팀,HCE,영업,
138,부품품질팀,HCE,,품질
139,품질기술팀,HCE,,품질
140,PVI팀,HCE,R&D,제품개발
141,제관의장구매팀,HCE,,구매
142,ESG경영혁신팀,HCE,,재무/기획
143,NAP팀,HCE,,구매
144,People&Culture팀,HCE,,HR/지원
145,기술경영팀,HCE,R&D,제품개발
146,디지털전략팀,HCE,,ICT
147,사업전략팀,HCE,영업,
148,설계원가팀,HCE,R&D,제품개발
149,설계프로세스운영팀,HCE,R&D,제품개발
150,시작내구검증팀,HCE,R&D,제품개발
151,인테그레이션패키지팀,HCE,R&D,제품개발
152,전자유압팀,HCE,R&D,제품개발
153,정보보안팀,HCE,,법무/보안
154,해외영업1팀,HCE,영업,
155,해외영업2팀,HCE,영업,
156,해외영업3팀,HCE,영업,
157,협력회사육성팀,HCE,,구매
158,CEO_Audit팀,HDI,,재무/기획
159,China구매_China구매부,HDI,해외법인,
160,지원/EHS/ESG/동반성장_ESG팀,HDI,,지원/EHS/ESG/동반성장
161,지원/EHS/ESG/동반성장_동반성장팀,HDI,,지원/EHS/ESG/동반성장
162,HR부문_HR부,HDI,,HR/지원
163,HR부문_기술HR기획팀,HDI,,HR/지원
164,HR부문_기술HRD팀,HDI,,HR/지원
165,HR부문_보상기획팀,HDI,,HR/지원
166,건설기계사업본부_건기제품개발부,HDI,건설기계사업,건기제품개발
167,건설기계사업본부_구조설계팀,HDI,건설기계사업,건기제품개발
168,건설기계사업본부_동력전달시스템설계팀,HDI,건설기계사업,건기제품개발
169,건설기계사업본부_선행개발팀,HDI,건설기계사업,건기제품개발
170,건설기계사업본부_유압설계팀,HDI,건설기계사업,건기제품개발
171,건설기계사업본부_의장설계팀,HDI,건설기계사업,건기제품개발
172,건설기계사업본부_성능개발팀,HDI,건설기계사업,건기제품개발
173,건설기계사업본부_시제품조립검증팀,HDI,건설기계사업,건기제품개발
174,건설기계사업본부_써멀소음진동성능개발팀,HDI,건설기계사업,건기제품개발
175,건설기계사업본부_재료시험평가팀,HDI,건설기계사업,건기제품개발
176,건설기계사업본부_전기전자검증팀,HDI,건설기계사업,건기제품개발
177,건설기계사업본부_제품검증팀,HDI,건설기계사업,건기제품개발
178,건설기계사업본부_제품내구시험팀,HDI,건설기계사업,건기제품개발
179,건설기계사업본부_종합성능개발팀,HDI,건설기계사업,건기제품개발
180,건설기계사업본부_소형건기개발팀,HDI,건설기계사업,건기제품개발
181,건설기계사업본부_원가혁신팀,HDI,건설기계사업,건기제품개발
182,건설기계사업본부_중대형건기개발1팀,HDI,건설기계사업,건기제품개발
183,건설기계사업본부_중대형건기개발2팀,HDI,건설기계사업,건기제품개발
184,건설기계사업본부_패키지레이아웃팀,HDI,건설기계사업,건기제품개발
185,건설기계사업본부_설계PD팀,HDI,건설기계사업,건기제품개발
186,건설기계사업본부_전자플랫폼개발팀,HDI,건설기계사업,건기제품개발
187,건설기계사업본부_전장부품개발팀,HDI,건설기계사업,건기제품개발
188,건설기계사업본부_전장시스템통합설계팀,HDI,건설기계사업,건기제품개발
189,건설기계사업본부_제어시스템개발팀,HDI,건설기계사업,건기제품개발
190,건설기계사업본부_China굴착기설계팀,HDI,건설기계사업,건기제품개발
191,건설기계사업본부_China시험팀,HDI,건설기계사업,건기제품개발
192,건설기계사업본부_China제품기획팀,HDI,건설기계사업,건기제품개발
193,건설기계사업본부_China특수장비설계팀,HDI,건설기계사업,건기제품개발
194,건설기계사업본부_글로벌생산부,HDI,건설기계사업,글로벌생산
195,건설기계사업본부_군산공정품질팀,HDI,건설기계사업,글로벌생산
196,건설기계사업본부_군산생산관리팀,HDI,건설기계사업,글로벌생산
197,건설기계사업본부_군산생산기술팀,HDI,건설기계사업,글로벌생산
198,건설기계사업본부_군산생산팀,HDI,건설기계사업,글로벌생산
199,건설기계사업본부_군산자재물류팀,HDI,건설기계사업,글로벌생산
200,건설기계사업본부_글로벌생산기술팀,HDI,건설기계사업,글로벌생산
201,건설기계사업본부_글로벌생산운영팀,HDI,건설기계사업,글로벌생산
202,건설기계사업본부_노르웨이법인,HDI,해외법인,
203,건설기계사업본부_생산운영팀,HDI,건설기계사업,글로벌생산
204,건설기계사업본부_인천생산관리팀,HDI,건설기계사업,글로벌생산
205,건설기계사업본부_인천생산기술팀,HDI,건설기계사업,글로벌생산
206,건설기계사업본부_인천자재물류팀,HDI,건설기계사업,글로벌생산
207,건설기계사업본부_인천제관생산팀,HDI,건설기계사업,글로벌생산
208,건설기계사업본부_인천조립생산팀,HDI,건설기계사업,글로벌생산
209,건설기계사업본부_영업관리팀,HDI,건설기계사업,영업
210,건설기계사업본부_Sales팀,HDI,건설기계사업,영업
211,건설기계사업본부_Marketing팀,HDI,건설기계사업,영업
212,건설기계사업본부_OC서남아Sales팀,HDI,건설기계사업,영업
213,건설기계사업본부_AM영업1팀,HDI,건설기계사업,영업
214,건설기계사업본부_AM영업2팀,HDI,건설기계사업,영업
215,건설기계사업본부_영업부,HDI,건설기계사업,영업
216,건설기계사업본부_Development팀,HDI,건설기계사업,영업
217,건설기계사업본부_AMPS사업개발팀,HDI,건설기계사업,영업
218,건설기계사업본부_AM운영팀,HDI,건설기계사업,영업
219,건설기계사업본부_PS팀,HDI,건설기계사업,영업
220,건설기계사업본부_PMMarketing팀,HDI,건설기계사업,영업
221,건설기계사업본부_글로벌SCM팀,HDI,건설기계사업,영업
222,건설기계사업본부_상품기획팀,HDI,건설기계사업,영업
223,건설기계사업본부_북미법인,HDI,해외법인,
224,건설기계사업본부_신흥영업2팀,HDI,건설기계사업,영업
225,건설기계사업본부_신흥영업3팀,HDI,건설기계사업,영업
226,건설기계사업본부_CIS팀,HDI,건설기계사업,영업
227,건설기계사업본부_MEA팀,HDI,건설기계사업,영업
228,건설기계사업본부_브라질법인,HDI,해외법인,
229,건설기계사업본부_유럽법인,HDI,해외법인,
230,건설기계사업본부_한국PS팀,HDI,건설기계사업,영업
231,건설기계사업본부_한국영업팀,HDI,건설기계사업,영업
