,0
0,A
1,AA
2,AAA
3,AAAU
4,AAC
5,AAC.U
6,AAC.W
7,AACT.U
8,AAIC
9,AAIC$B
10,AAIC$C
11,AAIN
12,AAM$A
13,AAM$B
14,AAMC
15,AAN
16,AAP
17,AAT
18,AAU
19,AB
20,ABB
21,ABBV
22,ABC
23,ABEQ
24,ABEV
25,ABG
26,ABM
27,ABR
28,ABR$D
29,ABR$E
30,ABR$F
31,ABT
32,AC
33,ACA
34,ACAQ
35,ACAQ.U
36,ACAQ.W
37,ACCO
38,ACEL
39,ACES
40,ACHR
41,ACHR.W
42,ACI
43,ACIO
44,ACM
45,ACN
46,ACP
47,ACP$A
48,ACR
49,ACR$C
50,ACR$D
51,ACRE
52,ACRO
53,ACRO.U
54,ACRO.W
55,ACSI
56,ACTV
57,ACU
58,ACV
59,ACVF
60,ACWV
61,ADC
62,ADC$A
63,ADCT
64,ADEX
65,ADEX.U
66,ADEX.W
67,ADFI
68,ADIV
69,ADM
70,ADME
71,ADNT
72,ADPV
73,ADRT
74,ADRT.U
75,ADT
76,ADX
77,AE
78,AEE
79,AEF
80,AEFC
81,AEG
82,AEL
83,AEL$A
84,AEL$B
85,AEM
86,AEMB
87,AENZ
88,AEO
89,AER
90,AES
91,AESC
92,AESI
93,AESR
94,AEVA
95,AEVA.W
96,AFB
97,AFG
98,AFGB
99,AFGC
100,AFGD
101,AFGE
102,AFIF
103,AFK
104,AFL
105,AFLG
106,AFMC
107,AFSM
108,AFT
109,AFTR
110,AFTR.U
111,AFTR.W
112,AFTY
113,AG
114,AGAC
115,AGAC.U
116,AGCO
117,AGD
118,AGE
119,AGG
120,AGGH
121,AGGY
122,AGI
123,AGIH
124,AGL
125,AGM
126,AGM$C
127,AGM$D
128,AGM$E
129,AGM$F
130,AGM$G
131,AGM.A
132,AGO
133,AGOV
134,AGOX
135,AGQ
136,AGR
137,AGRH
138,AGRO
139,AGS
140,AGTI
141,AGX
142,AGZ
143,AHH
144,AHH$A
145,AHL$C
146,AHL$D
147,AHL$E
148,AHOY
149,AHT
150,AHT$D
151,AHT$F
152,AHT$G
153,AHT$H
154,AHT$I
155,AHYB
156,AI
157,AIC
158,AIEQ
159,AIF
160,AIG
161,AIG$A
162,AILG
163,AILV
164,AIM
165,AIN
166,AINC
167,AIO
168,AIR
169,AIRC
170,AIRI
171,AIT
172,AIU
173,AIV
174,AIVI
175,AIVL
176,AIZ
177,AIZN
178,AJG
179,AJRD
180,AJX
181,AJXA
182,AKA
183,AKO.A
184,AKO.B
185,AKR
186,AL
187,AL$A
188,ALB
189,ALC
190,ALCC
191,ALE
192,ALEX
193,ALG
194,ALIT
195,ALK
196,ALL
197,ALL$B
198,ALL$H
199,ALL$I
200,ALLE
201,ALLG
202,ALLG.W
203,ALLY
204,ALSN
205,ALTG
206,ALTG$A
207,ALTL
208,ALV
209,ALX
210,AM
211,AMAX
212,AMBC
213,AMBI
214,AMBI.W
215,AMBO
216,AMBP
217,AMBP.W
218,AMC
219,AMCR
220,AME
221,AMG
222,AMH
223,AMH$G
224,AMH$H
225,AMJ
226,AMK
227,AMLP
228,AMN
229,AMNA
230,AMND
231,AMOM
232,AMP
233,AMPE
234,AMPS
235,AMPX
236,AMPX.W
237,AMPY
238,AMR
239,AMRC
240,AMRX
241,AMS
242,AMT
243,AMTD
244,AMTR
245,AMUB
246,AMWL
